user_id,movie_id,movie_title,explanation_type,explanation,persuasiveness,transparency,satisfaction,interest_accuracy
4376251640447208384,527,辛德勒的名单 Schindler's List,attr_peer,"这部电影的导演是<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1054440.jpg"" style=""height:200px""/>'>史蒂文·斯皮尔伯格 </span>",2.0,2.0,2,2
4376251640447208384,527,辛德勒的名单 Schindler's List,attr_random,"这部电影的演员有<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1041165.jpg"" style=""height:200px""/>'>卡罗琳·古多尔 </span>",1.0,1.0,2,2
4376251640447208384,527,辛德勒的名单 Schindler's List,user,和你兴趣相似的用户中，看过这部电影的87.3%都喜欢,4.0,4.0,4,4
4376251640447208384,527,辛德勒的名单 Schindler's List,item,喜欢《哈利·波特与混血王子》的也喜欢,4.0,2.0,4,4
4376251640447208384,527,辛德勒的名单 Schindler's List,peer,豆瓣top25之一，一部震撼人心的佳作，记录二战黑暗岁月中的一抹亮色。,3.0,4.0,4,4
4376251640447208384,527,辛德勒的名单 Schindler's List,attr_personal,这是一部美国电影,3.0,3.0,3,3
4376251640447208384,527,辛德勒的名单 Schindler's List,attr_nonpersonal,"这部电影的编剧是<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1028142.jpg"" style=""height:200px""/>'>托马斯·肯尼利 </span>",2.0,2.0,2,2
4376251640447208384,527,辛德勒的名单 Schindler's List,pop,有669241用户看过这部电影(热门度前1%),4.0,4.0,4,4
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,attr_random,"这部电影的导演是<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1047973.jpg"" style=""height:200px""/>'>弗兰克·德拉邦特 </span>",2.0,2.0,2,2
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,peer,豆瓣评分最高的电影之一。让人重新思考生命的意义、学习的意义、知识的意义，甚至意义的意义……,2.0,2.0,3,4
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,pop,有1677850用户看过这部电影(热门度前1%),4.0,4.0,4,4
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,attr_nonpersonal,"这部电影的演员有<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1041179.jpg"" style=""height:200px""/>'>鲍勃·冈顿 </span>",2.0,2.0,3,2
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,attr_personal,这是一部美国电影,3.0,3.0,3,3
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,attr_peer,这是一部美国电影,3.0,3.0,3,3
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,item,喜欢《普罗米修斯》的也喜欢,4.0,3.0,3,4
4376251640447208384,318,肖申克的救赎 The Shawshank Redemption,user,和你兴趣相似的用户中，看过这部电影的96.5%都喜欢,4.0,2.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,attr_nonpersonal,"这部电影的演员有<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1000368.jpg"" style=""height:200px""/>'>乔治·坎塔里尼 </span>",2.0,1.0,2,2
4376251640447208384,2324,美丽人生 La vita è bella,attr_personal,这是一部爱情电影,3.0,3.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,pop,有758624用户看过这部电影(热门度前1%),4.0,2.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,item_peer,这部电影和你看过的《我的少女时代 我的少女時代》很像,4.0,4.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,attr_peer,这是一部剧情电影,3.0,3.0,3,3
4376251640447208384,2324,美丽人生 La vita è bella,item,喜欢《哈利·波特与混血王子》的也喜欢,4.0,2.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,peer,豆瓣top10之一，在可爱童话中度过的纳粹集中营时光，悲喜参半的结局。,4.0,2.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,user,和你兴趣相似的用户中，看过这部电影的91.8%都喜欢,4.0,4.0,4,4
4376251640447208384,2324,美丽人生 La vita è bella,attr_random,这是一部喜剧电影,4.0,2.0,4,4
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,user,和你兴趣相似的用户中，看过这部电影的84.8%都喜欢,4.0,4.0,4,4
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,attr_nonpersonal,"这部电影的演员有<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1048144.jpg"" style=""height:200px""/>'>史蒂芬·鲍德温 </span>",2.0,2.0,2,2
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,attr_personal,这是一部美国电影,3.0,3.0,3,3
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,attr_random,这是一部犯罪电影,4.0,2.0,4,4
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,attr_peer,这是一部犯罪电影,4.0,2.0,4,4
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,item_peer,这部电影和你看过的《惊天魔盗团 Now You See Me》很像,4.0,4.0,4,4
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,item,喜欢《湮灭》的也喜欢,3.0,3.0,3,2
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,pop,有171366用户看过这部电影(热门度前4%),4.0,4.0,4,4
4376251640447208384,50,非常嫌疑犯 The Usual Suspects,peer,跟着嫌疑犯们一起度过紧张刺激的106分钟吧！屏住呼吸！,4.0,4.0,4,4
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,item,喜欢《暮光之城2：新月》的也喜欢,4.0,2.0,4,4
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,attr_peer,这是一部美国电影,3.0,2.0,3,3
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,attr_nonpersonal,"这部电影的演员有<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1054432.jpg"" style=""height:200px""/>'>凯文·史派西 </span>",3.0,2.0,2,2
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,attr_personal,这是一部爱情电影,3.0,2.0,4,4
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,user,和你兴趣相似的用户中，看过这部电影的100.0%都喜欢,4.0,4.0,5,5
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,peer,你看过《麦田里的守望者》吗?你想知道什么样的作者能写出它吗，那就看塞林格的传记电影《麦田里的反叛者》吧！,3.0,2.0,1,1
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,pop,有1686用户看过这部电影(热门度前51%),3.0,2.0,2,3
4376251640447208384,177233,麦田里的反叛者 Rebel in the Rye,attr_random,"这部电影的编剧是<span style=""text-decoration:underline"" data-toggle=""tooltip"" data-placement=""right"" data-html=""true"" title='<img src=""/static/figures/attribute/c_1017969.jpg"" style=""height:200px""/>'>丹尼·斯特朗 </span>",3.0,2.0,2,2
4376251640447208384,8533,恋恋笔记本 The Notebook,item_peer,这部电影和你看过的《我的少女时代 我的少女時代》很像,4.0,4.0,5,4
4376251640447208384,8533,恋恋笔记本 The Notebook,peer,那个男人，在那个夏天，教会那个女孩爱与自由。,4.0,3.0,3,3
